Full_name,First_name,Last_name,Other_info,,,,,,
Ilaria Ruffa,Ilaria,Ruffa,Cardiff University/INAF-IRA,,,,,,
Francoise Combes,Francoise ,Combes,PARIS Observatory,,,,,,
Enrique Lopez Rodriguez,Enrique,Lopez Rodriguez,KIPAC/Stanford University,,,,,,
Tom Rose,Tom,Rose,University of Waterloo,,,,,,
Jacob Elford,Jacob,Elford,Cardiff University,,,,,,
Pierrick Verwilghen,Pierrick,Verwilghen,European Southern Observatory (ESO),,,,,,
Luca Sala,Luca,Sala,Ludwig-Maximilians-Universität - Universitäts-Sternwarte München,,,,,,
Filip Huško,Filip,Huško,"Institute for Computational Cosmology, Durham University",,,,,,
Thaisa Storchi Bergmann,Thaisa,Storchi Bergmann,"IF-UFRGS, Brazil",,,,,,
Clive Tadhunter,Clive,Tadhunter,University of Sheffield,,,,,,
Sandra Raimundo,Sandra ,Raimundo ,Niels Bohr Institute Copenhagen / Univ. of Southampton,,,,,,
Barbara Marques,Barbara ,Marques,INPE,,,,,,
Mojtaba Raouf,Mojtaba ,Raouf,Leiden Observatory,,,,,,
Judith Croston,Judith,Croston,Open University (UK),,,,,,
James Matthews,James,Matthews,University of Oxford,,,,,,
Dawoon Edwin Kim,Dawoon Edwin,Kim,INAF-IAPS,,,,,,
Marina Bianchin,Marina,Bianchin,"University of California, Irvine",,,,,,
Amelia Vietri,Amelia,Vietri,University of Padova,,,,,,
Larissa Jerrim,Larissa,Jerrim,University of Tasmania,,,,,,
Malgosia Sobolewska,Malgosia,Sobolewska,CfA - Harvard & Smithsonian,,,,,,
Giulia Migliori,Giulia,Migliori,INAF-IRA,,,,,,
Iván E. Lopez,Iván E.,Lopez,Unibo/INAF-OAS,,,,,,
Dipanjan Mukherjee,Dipanjan,Mukherjee,"IUCAA, India",,,,,,
Meenakshi Moun ,Meenakshi, Moun,"IUCAA, India",,,,,,
Santiago Garcia Burillo,Santiago,Garcia Burillo,OAN-IGN,,,,,,
Almudena Prieto,Almudena,Prieto,Inst. Astrofisica Canarias/University Observatory Munich,,,,,,
Marie Drevet Mulard ,Marie,Drevet Mulard ,Laboratoire Lagrange - Observatoire de la côte d'Azur,,,,,,
Deovrat Prasad,Deovrat,Prasad,Cardiff University,,,,,,
Payel Nandi,Payel,Nandi,"Indian Institute of Astrophysics, Bangalore, India",,,,,,
Miguel Pereira-Santaella,Miguel,Pereira-Santaella,IFF CSIC,,,,,,
Stéphanie Juneau,Stéphanie,Juneau,NOIRLab,,,,,,
Cristina Ramos Almeida,Cristina,Ramos Almeida,Instituto de Astrofísica de Canarias ,,,,,,
Alberto Rodríguez-Ardila,Alberto,Rodríguez-Ardila,Laboratório Nacional de Astrofísica - Brazil,,,,,,
Pranav Kukreti,Pranav,Kukreti,Kapteyn Institute and ASTRON,,,,,,
Partha Pratim Deka,Partha Pratim ,Deka,"IUCAA, India",,,,,,
Rubinur Khatun,Rubinur,Khatun,University of Oslo,,,,,,
Chris Harrison,Chris,Harrison,Newcastle University,,,,,,
Ankush Mandal,Ankush,Mandal,"IUCAA, India",,,,,,
Chetna Duggal,Chetna,Duggal,University of Manitoba ,,,,,,
